Gemeenten,Provincie,Grootteklasse,
Ridderkerk,Zuid-Holland,20.000 tot 50.000 inwoners,
Rijssen-Holten,Overijssel,20.000 tot 50.000 inwoners,
Roerdalen,Limburg,20.000 tot 50.000 inwoners,
De Ronde Venen,Utrecht,20.000 tot 50.000 inwoners,
Rucphen,Noord-Brabant,20.000 tot 50.000 inwoners,
Schagen,Noord-Holland,20.000 tot 50.000 inwoners,
Schouwen-Duiveland,Zeeland,20.000 tot 50.000 inwoners,
Sint-Michielsgestel,Noord-Brabant,20.000 tot 50.000 inwoners,
Sliedrecht,Zuid-Holland,20.000 tot 50.000 inwoners,
Sluis,Zeeland,20.000 tot 50.000 inwoners,
Soest,Utrecht,20.000 tot 50.000 inwoners,
Someren,Noord-Brabant,20.000 tot 50.000 inwoners,
Stadskanaal,Groningen,20.000 tot 50.000 inwoners,
Stede Broec,Noord-Holland,20.000 tot 50.000 inwoners,
Steenbergen,Noord-Brabant,20.000 tot 50.000 inwoners,
Steenwijkerland,Overijssel,20.000 tot 50.000 inwoners,
Stein (L.),Limburg,20.000 tot 50.000 inwoners,
Teylingen,Zuid-Holland,20.000 tot 50.000 inwoners,
Tholen,Zeeland,20.000 tot 50.000 inwoners,
Tiel,Gelderland,20.000 tot 50.000 inwoners,
Tubbergen,Overijssel,20.000 tot 50.000 inwoners,
Twenterand,Overijssel,20.000 tot 50.000 inwoners,
Tynaarlo,Drenthe,20.000 tot 50.000 inwoners,
Tytsjerksteradiel,Friesland,20.000 tot 50.000 inwoners,
Uithoorn,Noord-Holland,20.000 tot 50.000 inwoners,
Urk,Flevoland,20.000 tot 50.000 inwoners,
Valkenswaard,Noord-Brabant,20.000 tot 50.000 inwoners,
Veendam,Groningen,20.000 tot 50.000 inwoners,
Veere,Zeeland,20.000 tot 50.000 inwoners,
Veldhoven,Noord-Brabant,20.000 tot 50.000 inwoners,
Venray,Limburg,20.000 tot 50.000 inwoners,
Vlissingen,Zeeland,20.000 tot 50.000 inwoners,
Voorschoten,Zuid-Holland,20.000 tot 50.000 inwoners,
Voorst,Gelderland,20.000 tot 50.000 inwoners,
Vught,Noord-Brabant,20.000 tot 50.000 inwoners,
Waadhoeke,Friesland,20.000 tot 50.000 inwoners,
Waalwijk,Noord-Brabant,20.000 tot 50.000 inwoners,
Waddinxveen,Zuid-Holland,20.000 tot 50.000 inwoners,
Wageningen,Gelderland,20.000 tot 50.000 inwoners,
Wassenaar,Zuid-Holland,20.000 tot 50.000 inwoners,
West Maas en Waal,Gelderland,20.000 tot 50.000 inwoners,
Westerwolde,Groningen,20.000 tot 50.000 inwoners,
Weststellingwerf,Friesland,20.000 tot 50.000 inwoners,
Wierden,Overijssel,20.000 tot 50.000 inwoners,
Wijchen,Gelderland,20.000 tot 50.000 inwoners,
Wijdemeren,Noord-Holland,20.000 tot 50.000 inwoners,
Wijk bij Duurstede,Utrecht,20.000 tot 50.000 inwoners,
Winterswijk,Gelderland,20.000 tot 50.000 inwoners,
Woensdrecht,Noord-Brabant,20.000 tot 50.000 inwoners,
De Wolden,Drenthe,20.000 tot 50.000 inwoners,
Zaltbommel,Gelderland,20.000 tot 50.000 inwoners,
Zeewolde,Flevoland,20.000 tot 50.000 inwoners,
Zevenaar,Gelderland,20.000 tot 50.000 inwoners,
Zuidplas,Zuid-Holland,20.000 tot 50.000 inwoners,
Zundert,Noord-Brabant,20.000 tot 50.000 inwoners,
Zutphen,Gelderland,20.000 tot 50.000 inwoners,
Zwartewaterland,Overijssel,20.000 tot 50.000 inwoners,
Zwijndrecht,Zuid-Holland,20.000 tot 50.000 inwoners,
Amsterdam,Noord-Holland,250.000 inwoners of meer,
's-Gravenhage (gemeente),Zuid-Holland,250.000 inwoners of meer,
Rotterdam,Zuid-Holland,250.000 inwoners of meer,
Utrecht (gemeente),Utrecht,250.000 inwoners of meer,
Almelo,Overijssel,50.000 tot 100.000 inwoners,
Altena,Noord-Brabant,50.000 tot 100.000 inwoners,
Amstelveen,Noord-Holland,50.000 tot 100.000 inwoners,
Assen,Drenthe,50.000 tot 100.000 inwoners,
Barneveld,Gelderland,50.000 tot 100.000 inwoners,
Bergen op Zoom,Noord-Brabant,50.000 tot 100.000 inwoners,
Capelle aan den IJssel,Zuid-Holland,50.000 tot 100.000 inwoners,
Dijk en Waard,Noord-Holland,50.000 tot 100.000 inwoners,
Doetinchem,Gelderland,50.000 tot 100.000 inwoners,
De Fryske Marren,Friesland,50.000 tot 100.000 inwoners,
Goeree-Overflakkee,Zuid-Holland,50.000 tot 100.000 inwoners,
Gooise Meren,Noord-Holland,50.000 tot 100.000 inwoners,
Gouda,Zuid-Holland,50.000 tot 100.000 inwoners,
Hardenberg,Overijssel,50.000 tot 100.000 inwoners,
Heerenveen,Friesland,50.000 tot 100.000 inwoners,
Heerlen,Limburg,50.000 tot 100.000 inwoners,
Den Helder,Noord-Holland,50.000 tot 100.000 inwoners,
Helmond,Noord-Brabant,50.000 tot 100.000 inwoners,
Hengelo (O.),Overijssel,50.000 tot 100.000 inwoners,
Hilversum,Noord-Holland,50.000 tot 100.000 inwoners,
